Magnitude - Distance Spectra (km) IMT Trellis
vs30measured,True,hypo_depth,10.0,rake,0.0,z1pt0,100.0,vs30,800.0,ztor,5.0,dip,90.0
Magnitude,5.0,rhypo,11.1803398875,rx,5.0,rjb,5.0,repi,5.0,rrup,7.07106781187
IMT,AkkarBommer2010,AkkarCagnan2010,AkkarEtAlRjb2014,BooreAtkinson2008,ChiouYoungs2008,ZhaoEtAl2006Asc
0.48,0.28319850,0.18761599,0.20110540,0.23147437,0.34027265,0.20989464
0.5,0.26952247,0.17752506,0.19342157,0.22133728,0.32645427,0.20320536
0.55,0.25291932,0.15242501,0.17035859,0.19843436,0.29391999,0.18251131
0.6,0.22978812,0.13246314,0.14961640,0.17959524,0.26647113,0.16986557
0.65,0.21083317,0.11639027,0.13154733,0.16397475,0.24298352,0.15887760
0.7,0.19577364,0.10316140,0.11817685,0.15072264,0.22264701,0.14933539
0.75,0.17876044,0.09212912,0.10567321,0.13934675,0.20486234,0.13932252
0.8,0.16400829,0.08464636,0.09684575,0.13111725,0.18901379,0.13060831
0.85,0.14984092,0.07812304,0.08907190,0.12382727,0.17500206,0.12242023
0.9,0.13471098,0.07237935,0.08138528,0.11730220,0.16253116,0.11521236
0.95,0.12172938,0.06730007,0.07522772,0.11144477,0.15136613,0.10690457
1.0,0.11288057,0.06278081,0.07014986,0.10615674,0.14131791,0.09957276
1.1,0.09885743,0.05514389,0.06076932,0.09521134,0.12338692,0.08776944
1.2,0.08611719,0.04896660,0.05324067,0.08620547,0.10876395,0.07815405
1.3,0.07616286,0.04388183,0.04719567,0.07867357,0.09665291,0.07076874
1.4,0.06789719,0.03963400,0.04240193,0.07228693,0.08649047,0.06505145
1.5,0.06037593,0.03604009,0.03912617,0.06680707,0.07786723,0.06014194
1.6,0.05411591,0.03204117,0.03564298,0.06047492,0.06967684,0.05477873
1.7,0.05041528,0.02868727,0.03228500,0.05507435,0.06271348,0.05019846
1.8,0.04669181,0.02584535,0.02989621,0.05042488,0.05674091,0.04624727
1.9,0.04298045,0.02341517,0.02753115,0.04638855,0.05157789,0.04280844
2.0,0.04049599,0.02132003,0.02522248,0.04285827,0.04708335,0.03979199
3.0,0.02157761,-999.000,0.01243758,0.02205072,0.02233498,0.02132828
4.0,0.00826997,-999.000,0.00826530,0.01169386,0.01281346,0.01417301
5.0,-999.000,-999.000,-999.000,0.00664838,0.00819182,0.01094861
7.5,-999.000,-999.000,-999.000,0.00287944,0.00333312,-999.000
10.0,-999.000,-999.000,-999.000,0.00113211,0.00156356,-999.000
====================================================
Magnitude,6.0,rhypo,22.360679775,rx,20.0,rjb,20.0,repi,20.0,rrup,20.6155281281
IMT,AkkarBommer2010,AkkarCagnan2010,AkkarEtAlRjb2014,BooreAtkinson2008,ChiouYoungs2008,ZhaoEtAl2006Asc
0.05,0.12345889,0.06049035,0.09245836,0.11326838,0.12709899,0.12202490
0.075,0.14990566,0.08085174,0.11650668,0.15093390,0.16013254,0.16770022
0.1,0.17203659,0.10171331,0.13074606,0.17421197,0.18593694,0.20971530
0.11,0.17976676,0.10595481,0.13439024,0.18035704,0.19106933,0.20873648
0.12,0.18712859,0.10997799,0.13760891,0.18615558,0.19586488,0.20786414
0.13,0.19416836,0.11379465,0.13948074,0.19162636,0.20036963,0.20707768
0.14,0.20092349,0.11744388,0.14030641,0.19683434,0.20462021,0.20636180
0.15,0.20742471,0.12094420,0.14048667,0.20180963,0.20864631,0.20570492
0.16,0.20677446,0.12433399,0.13915349,0.20046365,0.20716165,0.19899120
0.17,0.20616388,0.12760617,0.13749806,0.19920786,0.20575680,0.19295010
0.18,0.20558844,0.13075490,0.13502902,0.19800637,0.20442187,0.18747338
0.19,0.20504433,0.13380606,0.13192575,0.19687685,0.20314858,0.18247587
0.2,0.20452833,0.13676762,0.12895743,0.19581153,0.20192997,0.17788955
0.22,0.19743596,0.12698978,0.12361553,0.18495707,0.19514156,0.16688616
0.24,0.19106355,0.11824943,0.11814902,0.17557393,0.18906251,0.15748685
0.26,0.18402788,0.11253180,0.11363632,0.16757995,0.18221664,0.14758615
0.28,0.17652383,0.10933382,0.10743213,0.16061564,0.17477304,0.13739181
0.3,0.16977572,0.10643314,0.10296494,0.15439258,0.16803395,0.12850900
0.32,0.15985708,0.10015916,0.09773070,0.14625921,0.15982210,0.12169148
0.34,0.15105959,0.09452701,0.09321540,0.13900949,0.15239463,0.11569520
0.36,0.14278799,0.08944477,0.09003592,0.13250345,0.14563270,0.11038334
0.38,0.13499234,0.08484421,0.08637724,0.12663991,0.13944086,0.10564799
0.4,0.12798302,0.08065527,0.08302533,0.12131704,0.13374161,0.10140287
0.42,0.12066143,0.07581035,0.07939045,0.11475843,0.12745382,0.09622145
0.44,0.11406875,0.07145675,0.07580739,0.10883540,0.12167823,0.09161977
